States/UTs,Crime Head,2004
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,405
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,6334
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,5
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,73
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,3
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,4
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,1254
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,1
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,2
All India,CRUELTY BY HUSBAND OR RELATIVES,58121
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,405
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,28
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,24
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,9
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,28
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,33
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,62
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,4
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,11
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,3
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1170
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,168
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,23
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,309
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,0
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,5
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,4
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,22
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,32
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,79
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,1
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,3022
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,44
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,4
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,121
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,9
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,1
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,123
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,4
All India,IMMORAL TRAFFIC(PREVENTION)ACT,5748
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1102
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
