State,Crime_Head,Year,Count
Jammu & Kashmir,Immoral Traffic (P) Act,2013,1
Jharkhand,Immoral Traffic (P) Act,2013,11
Karnataka,Immoral Traffic (P) Act,2013,340
Kerala,Immoral Traffic (P) Act,2013,180
Madhya Pradesh,Immoral Traffic (P) Act,2013,22
Maharashtra,Immoral Traffic (P) Act,2013,289
Manipur,Immoral Traffic (P) Act,2013,0
Meghalaya,Immoral Traffic (P) Act,2013,4
Mizoram,Immoral Traffic (P) Act,2013,0
Nagaland,Immoral Traffic (P) Act,2013,1
Odisha,Immoral Traffic (P) Act,2013,27
Punjab,Immoral Traffic (P) Act,2013,137
Rajasthan,Immoral Traffic (P) Act,2013,74
Sikkim,Immoral Traffic (P) Act,2013,0
Tamil Nadu,Immoral Traffic (P) Act,2013,549
Tripura,Immoral Traffic (P) Act,2013,0
Uttar Pradesh,Immoral Traffic (P) Act,2013,37
Uttarakhand,Immoral Traffic (P) Act,2013,13
West Bengal,Immoral Traffic (P) Act,2013,104
Total (State),Immoral Traffic (P) Act,2013,2541
A&N Islands,Immoral Traffic (P) Act,2013,4
Chandigarh,Immoral Traffic (P) Act,2013,6
D&N Haveli,Immoral Traffic (P) Act,2013,2
Daman & Diu,Immoral Traffic (P) Act,2013,6
Delhi UT,Immoral Traffic (P) Act,2013,20
Lakshadweep,Immoral Traffic (P) Act,2013,0
Puducherry,Immoral Traffic (P) Act,2013,0
Total (UTs),Immoral Traffic (P) Act,2013,38
Total (All-India),Immoral Traffic (P) Act,2013,2579
Andhra Pradesh,Importation of Girls from Foreign Country,2013,0
Arunachal Pradesh,Importation of Girls from Foreign Country,2013,0
Assam,Importation of Girls from Foreign Country,2013,2
Bihar,Importation of Girls from Foreign Country,2013,7
Chhattisgarh,Importation of Girls from Foreign Country,2013,1
Goa,Importation of Girls from Foreign Country,2013,0
Gujarat,Importation of Girls from Foreign Country,2013,0
Haryana,Importation of Girls from Foreign Country,2013,2
Himachal Pradesh,Importation of Girls from Foreign Country,2013,0
Jammu & Kashmir,Importation of Girls from Foreign Country,2013,0
Jharkhand,Importation of Girls from Foreign Country,2013,2
Karnataka,Importation of Girls from Foreign Country,2013,0
Kerala,Importation of Girls from Foreign Country,2013,0
Madhya Pradesh,Importation of Girls from Foreign Country,2013,7
Maharashtra,Importation of Girls from Foreign Country,2013,0
Manipur,Importation of Girls from Foreign Country,2013,0
Meghalaya,Importation of Girls from Foreign Country,2013,0
Mizoram,Importation of Girls from Foreign Country,2013,0
Nagaland,Importation of Girls from Foreign Country,2013,0
Odisha,Importation of Girls from Foreign Country,2013,0
Punjab,Importation of Girls from Foreign Country,2013,0
Rajasthan,Importation of Girls from Foreign Country,2013,1
Sikkim,Importation of Girls from Foreign Country,2013,0
Tamil Nadu,Importation of Girls from Foreign Country,2013,0
Tripura,Importation of Girls from Foreign Country,2013,0
Uttar Pradesh,Importation of Girls from Foreign Country,2013,0
Uttarakhand,Importation of Girls from Foreign Country,2013,0
West Bengal,Importation of Girls from Foreign Country,2013,9
Total (State),Importation of Girls from Foreign Country,2013,31
A&N Islands,Importation of Girls from Foreign Country,2013,0
Chandigarh,Importation of Girls from Foreign Country,2013,0
D&N Haveli,Importation of Girls from Foreign Country,2013,0
Daman & Diu,Importation of Girls from Foreign Country,2013,0
Delhi UT,Importation of Girls from Foreign Country,2013,0
