State,Year,AoM,AoW,DD,DV,KandA,Rape,WT,Total,share_AoM,share_AoW,share_DD,share_DV,share_KandA,share_Rape,share_WT,prev_total,yoy_growth
ASSAM,2007,10,789,100,3000,1471,1437,0,6807,0.0014690759512266784,0.11591009255178493,0.014690759512266784,0.4407227853680035,0.2161010724254444,0.21110621419127368,0.0,6741.0,0.009790832220738763
ASSAM,2008,2,1272,103,3478,1789,1438,0,8082,0.00024746349913387774,0.15738678544914625,0.012744370205394704,0.43033902499381343,0.22135609997525366,0.1779262558772581,0.0,6807.0,0.1873071837814015
ASSAM,2009,10,1342,170,4398,2092,1631,1,9644,0.0010369141435089175,0.13915387805889673,0.017627540439651597,0.4560348403152219,0.21692243882206552,0.16912069680630443,0.00010369141435089174,8082.0,0.19326899282355853
ASSAM,2010,20,1400,175,5410,2767,1721,0,11493,0.0017401896806751936,0.12181327764726355,0.015226659705907943,0.4707213086226399,0.24075524232141304,0.14974332202210042,0.0,9644.0,0.19172542513479884
Andhra Pradesh,2011,3658,0,599,13376,1612,1442,497,21184,0.1726774924471299,0.0,0.028276057401812688,0.6314199395770392,0.07609516616314199,0.0680702416918429,0.023461102719033233,,0.0
Andhra Pradesh,2012,3714,4816,504,13389,1403,1341,472,25639,0.1448574437380553,0.1878388392683022,0.01965755294668279,0.5222122547681267,0.05472132298451578,0.052303131947423843,0.018409454346893405,21184.0,0.21030022658610273
Andhra Pradesh,2013,4702,6930,492,15084,1595,1635,489,30927,0.15203543829016716,0.22407605005335143,0.015908429527597245,0.48772916868755456,0.051573059139263425,0.052866427393539625,0.015811426908526532,25639.0,0.2062482936151956
Andhra Pradesh,2014,1072,4547,468,6362,721,961,204,14335,0.07478200209277991,0.31719567492152073,0.03264736658528078,0.4438088594349494,0.050296477153819324,0.06703871642832229,0.01423090338332752,30927.0,-0.5364891518737672
Andhra Pradesh,2015,1070,4616,174,6121,684,1027,204,13896,0.07700057570523892,0.33218192285549797,0.012521588946459413,0.4404864709268854,0.04922279792746114,0.07390616004605642,0.01468048359240069,14335.0,-0.03062434600627834
Andhra Pradesh,2016,1305,4829,193,6461,626,994,186,14594,0.08942030971632177,0.3308894066054543,0.01322461285459778,0.4427161847334521,0.04289434013978347,0.06811018226668494,0.012744963683705632,13896.0,0.05023028209556707
Andhra Pradesh,2017,1998,5129,152,7156,712,988,121,16256,0.12290846456692914,0.3155142716535433,0.009350393700787402,0.4402066929133858,0.043799212598425195,0.06077755905511811,0.007443405511811023,14594.0,0.1138824174318213
Andhra Pradesh,2018,1802,4445,140,6831,697,971,152,15038,0.1198297645963559,0.2955845192179811,0.009309748636786807,0.4542492352706477,0.046349248570288604,0.06456975661657136,0.010107727091368533,16256.0,-0.07492618110236221
Andhra Pradesh,2019,1892,4444,112,7851,589,1086,88,16062,0.11779354999377413,0.27667787324119036,0.0069729797036483625,0.4887934254762794,0.036670402191507905,0.06761299962644751,0.005478769767152285,15038.0,0.06809416145764065
Andhra Pradesh,2020,2342,4886,111,6546,534,1095,48,15562,0.15049479501349441,0.31396992674463436,0.007132759285438889,0.42064002056290967,0.0343143554813006,0.07036370646446473,0.0030844364477573575,16062.0,-0.03112937367700162
Andhra Pradesh,2021,2370,5108,108,7092,613,1188,70,16549,0.14321107015529638,0.30865913348238566,0.006526074083026165,0.4285455314520515,0.03704151308236147,0.07178681491328781,0.004229862831591033,15562.0,0.06342372445701067
Arunachal Pradesh,2011,0,0,0,18,60,42,0,120,0.0,0.0,0.0,0.15,0.5,0.35,0.0,,0.0
Arunachal Pradesh,2012,2,67,1,26,58,46,1,201,0.009950248756218905,0.3333333333333333,0.004975124378109453,0.12935323383084577,0.2885572139303483,0.22885572139303484,0.004975124378109453,120.0,0.675
Arunachal Pradesh,2013,3,93,0,29,86,75,2,288,0.010416666666666666,0.3229166666666667,0.0,0.10069444444444445,0.2986111111111111,0.2604166666666667,0.006944444444444444,201.0,0.43283582089552236
Arunachal Pradesh,2014,21,121,0,42,91,83,0,358,0.05865921787709497,0.33798882681564246,0.0,0.11731843575418995,0.2541899441340782,0.23184357541899442,0.0,288.0,0.24305555555555555
Arunachal Pradesh,2015,15,101,0,66,128,71,2,383,0.0391644908616188,0.26370757180156656,0.0,0.17232375979112272,0.3342036553524804,0.185378590078329,0.005221932114882507,358.0,0.06983240223463687
Arunachal Pradesh,2016,4,109,1,50,85,92,0,341,0.011730205278592375,0.3196480938416422,0.002932551319648094,0.1466275659824047,0.24926686217008798,0.2697947214076246,0.0,383.0,-0.10966057441253264
Arunachal Pradesh,2017,5,97,0,56,74,59,2,293,0.017064846416382253,0.3310580204778157,0.0,0.19112627986348124,0.2525597269624573,0.20136518771331058,0.006825938566552901,341.0,-0.14076246334310852
Arunachal Pradesh,2018,12,103,0,60,87,67,0,329,0.0364741641337386,0.3130699088145897,0.0,0.182370820668693,0.26443768996960487,0.20364741641337386,0.0,293.0,0.12286689419795221
Arunachal Pradesh,2019,6,80,1,54,68,63,0,272,0.022058823529411766,0.29411764705882354,0.003676470588235294,0.19852941176470587,0.25,0.23161764705882354,0.0,329.0,-0.17325227963525835
Arunachal Pradesh,2020,3,73,0,69,45,60,0,250,0.012,0.292,0.0,0.276,0.18,0.24,0.0,272.0,-0.08088235294117647
Arunachal Pradesh,2021,10,74,0,112,50,83,0,329,0.030395136778115502,0.22492401215805471,0.0,0.3404255319148936,0.1519756838905775,0.25227963525835867,0.0,250.0,0.316
Assam,2011,8,0,121,5246,3192,1700,21,10288,0.0007776049766718507,0.0,0.011761275272161743,0.5099144634525661,0.31026438569206843,0.16524105754276827,0.002041213063763608,,0.0
